"Individual","full_path","haplogroup"
"NA20813","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K -> K1","K1"
"NA20814","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV","HV"
"NA20815","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"NA20818","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"NA20819","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"NA20821","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"NA20822","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA20826","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA20827","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA20828","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K -> K1","K1"
"NA20832","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"NA20845","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20846","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20847","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20849","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20850","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"NA20851","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> W","W"
"NA20852","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20853","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20854","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA20856","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20858","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> W","W"
"NA20859","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20861","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20862","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA20863","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20864","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20866","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA20867","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV","HV"
"NA20868","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20869","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20870","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"NA20871","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20872","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H -> H2","H2"
"NA20874","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20875","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA20876","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20877","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20878","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20881","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20882","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20884","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20885","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20886","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> X -> X2","X2"
"NA20887","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA20888","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20889","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA20890","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"NA20891","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20892","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20893","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20894","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20895","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20896","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"NA20897","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20898","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> X -> X2","X2"
"NA20899","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20900","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA20901","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"NA20902","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA20903","L2'3'4'5'6 -> L2'3'4'6 -> L2","L2"
"NA20904","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
